department,region,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
4,2,1,0,1,38,3,3,0,0,72,0
1,31,0,0,1,35,1,3,1,0,59,0
3,7,1,0,1,32,3,5,0,0,79,0
5,30,1,3,1,33,5,7,1,0,83,0
0,2,1,0,2,49,4,19,0,0,50,0
0,13,1,0,1,29,5,6,0,0,51,0
7,2,0,0,1,59,3,6,1,0,52,0
0,15,1,0,3,40,3,11,0,0,53,0
1,22,0,3,1,28,1,4,0,0,58,0
4,13,0,3,1,33,3,2,1,0,69,0
0,16,0,3,1,33,5,3,1,0,50,0
5,15,1,3,1,35,4,7,0,0,86,0
4,2,1,0,1,39,3,8,0,0,67,0
1,22,1,0,1,36,5,5,0,0,57,0
0,31,1,3,1,27,3,4,0,0,48,0
1,20,1,3,1,29,5,2,1,0,55,0
5,34,1,0,2,25,4,4,0,0,88,0
0,27,1,3,1,28,2,5,0,0,53,0
1,25,0,3,1,34,5,7,0,0,74,1
0,11,1,0,2,26,,1,1,0,51,0
1,2,0,0,2,35,4,10,1,0,61,0
0,15,1,3,2,33,5,7,0,0,49,0
8,2,1,0,1,60,4,17,1,0,58,0
0,2,1,3,4,31,3,9,0,0,49,0
4,2,1,3,1,33,1,6,1,0,72,0
0,2,0,3,1,35,3,6,0,0,51,0
0,22,1,0,4,43,2,17,0,0,53,0
3,16,0,0,1,40,4,2,1,0,75,0
1,26,1,3,1,29,4,3,0,0,61,0
1,2,1,3,2,37,3,8,0,0,60,0
1,2,1,3,1,37,4,12,0,0,59,0
3,10,1,3,1,35,3,4,0,0,76,0
6,15,1,3,1,34,3,7,0,0,65,0
1,19,1,3,1,33,5,7,1,0,61,0
3,14,1,3,1,36,3,7,0,0,73,0
4,2,0,3,2,34,2,7,0,0,72,0
1,20,1,3,1,34,1,7,0,0,64,0
5,2,1,0,1,36,3,8,0,0,85,0
1,12,0,0,1,44,5,7,0,0,67,0
4,2,0,0,1,31,3,6,1,0,69,0
0,17,1,3,1,36,2,3,0,0,56,0
0,16,1,0,2,34,1,8,0,0,52,0
4,2,0,3,1,42,2,5,0,0,71,0
0,2,0,3,1,58,1,4,0,0,52,0
7,2,1,3,1,50,5,20,0,0,49,0
5,22,1,3,2,47,3,6,0,0,83,0
5,2,1,3,1,37,3,4,1,0,84,0
1,15,1,0,1,35,4,7,1,0,54,0
3,31,1,0,1,45,3,16,0,0,81,0
4,31,0,0,2,31,3,4,0,0,71,0
0,2,1,3,1,48,5,6,0,0,52,0
6,2,0,3,1,32,3,6,0,0,62,0
4,2,0,3,2,27,3,3,0,0,72,0
7,2,0,0,1,48,5,12,0,0,51,0
0,22,1,1,2,27,,1,0,0,49,0
4,7,1,3,2,34,2,5,1,0,69,0
8,20,1,3,3,33,3,3,0,0,61,0
1,26,1,0,1,36,4,8,1,0,60,0
0,2,1,1,1,36,4,2,0,0,51,0
3,33,1,3,1,38,5,13,1,0,80,0
7,2,0,3,1,58,3,4,1,0,49,0
4,7,1,3,1,29,5,1,1,0,70,0
5,1,1,3,1,34,3,6,0,0,89,0
3,5,0,0,1,25,2,2,0,0,81,0
4,2,1,3,2,35,5,8,1,0,70,0
5,2,1,3,1,52,3,5,0,0,85,0
0,22,1,0,1,38,4,11,0,0,51,0
7,2,0,0,1,46,3,18,0,0,49,0
0,27,1,3,1,32,3,8,0,0,51,0
1,22,1,0,1,59,5,3,0,0,66,0
0,31,1,3,1,23,,1,0,0,48,0
1,20,1,3,1,31,2,7,0,0,61,0
1,14,1,3,1,32,5,4,1,0,63,0
7,26,0,3,1,28,5,2,1,0,49,0
3,22,1,3,1,29,,1,0,0,75,0
0,16,1,0,1,38,1,3,0,0,56,0
1,2,0,3,1,44,3,12,0,0,56,0
0,2,0,3,1,53,1,25,0,0,45,0
0,13,1,0,1,25,2,4,0,0,49,0
3,27,1,3,1,34,3,6,0,0,84,0
5,2,1,0,1,59,3,12,1,1,82,1
0,4,1,0,1,32,1,7,0,0,50,0
0,20,1,0,1,36,1,9,0,0,48,0
0,12,1,3,1,39,5,13,0,0,91,1
5,29,1,3,1,27,,1,1,0,85,0
0,7,1,3,1,42,4,10,1,0,52,0
4,17,0,3,1,36,3,10,0,0,68,0
1,15,1,3,1,29,3,6,0,0,57,0
0,22,0,3,1,27,4,2,1,0,47,0
5,28,1,0,1,30,2,4,0,0,86,0
4,8,0,0,1,44,5,2,1,0,70,1
0,5,1,0,1,34,4,9,0,0,47,0
4,22,1,0,1,26,2,3,0,0,69,0
0,26,1,0,1,28,,1,0,0,44,0
1,13,0,3,1,32,4,5,1,0,62,0
1,2,0,0,1,48,2,23,0,0,57,0
0,17,1,3,3,29,3,2,0,0,47,0
0,29,1,3,1,32,2,4,0,0,51,0
1,26,1,0,2,26,,1,0,0,91,1
3,22,1,3,1,28,4,2,0,0,83,1
0,2,1,3,2,34,1,5,0,0,43,0
4,20,1,3,1,34,3,7,0,0,69,0
0,2,1,3,1,33,5,2,0,0,51,0
4,27,0,3,2,30,3,7,0,0,70,0
4,26,0,3,1,30,3,6,0,0,70,0
0,14,0,3,1,34,4,9,1,0,50,1
5,2,1,3,1,36,2,8,0,0,88,0
1,22,1,0,1,40,3,7,0,0,61,0
3,28,1,0,1,34,5,7,0,0,80,0
1,16,0,0,1,32,1,7,1,0,65,0
0,2,0,3,1,31,5,6,0,0,51,0
3,7,1,0,1,32,2,4,0,0,80,0
0,16,1,3,1,36,2,5,0,0,47,0
7,25,1,0,1,33,5,6,0,0,49,0
4,27,1,3,2,28,,1,0,0,72,0
0,9,1,0,1,30,4,4,0,0,48,0
1,22,1,0,1,34,5,6,1,0,57,1
0,15,0,3,1,32,5,6,1,0,49,0
7,2,1,0,1,39,5,6,0,0,51,0
4,14,1,0,1,40,3,3,0,0,73,0
8,22,1,3,1,30,2,3,1,0,58,0
3,2,0,0,1,30,3,5,0,0,82,0
5,14,1,0,1,35,3,6,1,0,87,0
5,17,1,0,1,34,3,5,0,0,82,0
0,7,1,3,1,32,2,7,1,0,50,0
0,15,1,0,1,35,2,13,0,0,51,0
1,17,1,3,1,42,3,12,0,0,56,0
0,26,1,3,1,25,4,4,0,0,53,0
7,11,1,3,1,31,3,6,0,0,48,0
7,7,1,3,1,40,2,10,0,0,51,0
4,7,1,3,1,40,5,12,0,0,67,0
3,2,0,3,1,37,4,3,1,0,81,0
1,14,1,3,1,34,5,4,1,0,60,0
5,21,1,3,1,34,3,6,1,0,89,0
0,15,1,3,1,44,3,4,0,0,52,0
0,9,1,3,1,30,3,7,1,0,51,0
0,4,1,3,1,27,,1,0,0,49,0
4,5,1,3,1,35,5,8,1,0,66,0
8,2,1,3,1,41,5,9,0,0,58,0
0,9,1,3,1,29,3,5,0,0,48,0
7,3,1,3,1,33,1,4,0,0,54,0
5,22,1,3,2,32,3,6,0,0,82,0
0,7,1,3,1,51,4,7,0,0,52,0
0,7,0,3,1,29,2,2,0,0,51,0
0,26,1,0,1,36,5,9,0,0,51,0
4,15,0,3,1,27,3,2,1,0,72,0
3,20,1,3,2,38,5,6,1,0,77,0
1,2,0,3,1,39,5,4,1,0,56,1
0,26,1,0,1,44,3,15,0,0,50,0
5,26,1,0,1,29,4,6,1,0,85,0
4,7,1,3,3,26,3,2,0,0,71,0
3,26,1,0,1,32,3,10,1,0,79,1
0,32,1,0,2,27,3,3,0,0,50,0
0,8,1,0,1,26,,1,0,0,51,0
6,26,1,3,1,32,5,6,1,0,60,1
0,8,1,3,1,36,5,3,0,0,63,1
0,5,1,3,1,39,4,3,0,0,51,0
0,7,1,3,1,31,4,3,0,0,49,0
0,13,1,0,1,32,1,5,0,0,47,0
1,13,1,0,3,38,5,6,1,0,60,0
1,27,1,3,1,28,5,1,0,1,70,1
0,7,0,0,1,35,3,10,1,0,51,0
4,26,0,0,1,37,3,6,1,0,70,0
1,2,1,3,1,53,4,4,1,0,59,0
9,22,0,0,1,28,3,4,1,0,83,0
3,2,1,3,1,39,1,7,0,0,80,0
1,31,1,3,1,40,2,7,0,0,62,0
0,26,1,3,1,28,5,2,1,0,44,0
8,24,1,0,1,33,2,7,0,0,64,0
1,19,1,0,1,35,5,6,1,0,59,0
9,13,1,3,2,32,5,6,0,0,85,0
1,22,1,0,1,51,5,9,1,0,58,1
0,7,1,3,1,36,1,3,0,0,48,0
4,23,1,3,1,36,5,2,1,0,71,0
1,21,1,0,1,37,5,10,0,0,60,0
1,4,0,3,1,36,5,5,1,0,54,0
1,4,1,3,1,43,3,17,1,0,60,0
6,2,1,0,1,30,4,4,1,0,58,0
8,22,1,0,1,28,4,2,1,0,58,0
3,2,0,0,1,38,3,9,0,0,82,0
1,26,0,0,1,44,3,5,0,0,62,0
3,26,0,0,1,33,1,3,0,0,80,0
4,23,1,0,1,34,3,5,1,0,73,1
3,19,1,3,1,28,,1,1,1,81,0
3,30,1,0,2,27,3,3,0,0,80,0
0,13,1,0,1,39,5,6,1,0,49,0
3,5,0,3,1,30,1,3,0,0,78,0
5,22,1,3,2,29,,1,0,0,81,0
4,16,0,0,2,23,,1,0,0,68,0
1,3,1,0,1,35,5,6,0,0,60,0
0,2,1,0,1,52,5,22,0,0,46,0
1,26,1,0,1,31,4,5,0,0,57,0
9,22,1,0,1,30,5,5,1,0,84,0
0,22,0,3,1,28,4,5,1,0,55,0
0,5,1,3,1,31,2,4,0,0,47,0
7,7,1,0,1,35,5,10,1,0,52,0
5,5,1,0,1,34,3,8,0,0,78,0
0,6,0,0,1,38,2,12,0,0,48,0
5,31,1,3,2,27,3,5,1,1,88,0
0,2,1,0,2,35,5,9,0,0,50,0
4,7,1,0,2,54,3,16,0,0,68,0
0,10,1,3,3,28,3,2,0,0,54,0
9,11,1,3,1,34,4,8,0,0,89,0
6,2,1,0,2,34,5,6,1,0,59,0
1,8,1,3,1,30,3,3,0,0,57,0
5,15,1,0,1,29,3,5,0,0,84,0
0,22,1,3,1,22,5,2,0,0,52,0
1,19,0,0,1,36,5,7,1,0,58,0
3,2,1,0,1,33,,1,1,0,76,0
0,2,1,3,2,53,3,9,0,0,51,0
7,2,0,3,1,23,,1,0,0,54,0
3,7,1,0,2,30,2,4,0,0,79,0
1,22,1,0,1,37,4,8,0,0,61,0
8,16,0,3,1,28,5,3,1,0,61,0
4,27,1,0,3,24,3,2,1,0,71,1
0,33,1,3,1,33,3,8,0,0,46,0
3,2,1,3,1,32,3,6,0,0,84,0
0,16,1,0,1,35,5,7,1,0,51,0
0,14,1,3,1,23,2,2,0,0,45,0
4,31,1,0,2,33,3,2,1,0,67,0
9,2,1,3,2,32,3,3,0,0,89,0
3,23,1,3,1,28,5,3,1,0,79,1
5,7,1,3,2,29,5,4,0,0,84,0
4,13,1,3,1,41,3,7,0,0,85,1
3,23,1,0,1,24,3,2,0,0,88,0
5,28,1,3,2,31,3,3,0,0,83,0
6,2,1,0,2,34,5,2,1,0,58,0
0,17,1,3,1,39,4,9,0,0,49,0
1,15,1,0,2,35,5,9,1,0,64,1
5,22,1,1,2,30,3,6,1,0,86,0
0,29,1,0,2,33,3,5,0,0,50,0
0,7,1,3,2,31,3,2,0,0,50,0
4,12,1,3,1,26,5,2,0,0,68,0
0,22,0,3,2,25,,1,0,0,52,0
1,7,1,3,1,34,3,10,0,0,54,0
1,22,0,0,1,38,3,12,1,0,57,0
3,2,0,0,2,30,3,7,0,0,79,0
4,5,0,3,1,29,4,3,0,0,72,0
0,2,1,3,2,58,1,15,0,0,47,0
0,1,1,0,1,37,5,9,1,0,49,1
1,4,1,3,1,37,5,4,0,0,69,1
4,2,0,3,1,59,4,15,0,0,71,0
7,26,1,0,1,27,5,2,1,0,50,0
1,2,1,0,1,51,5,8,1,0,56,1
6,32,1,3,1,29,,1,0,0,56,0
0,22,1,3,1,41,1,14,0,0,46,0
8,2,1,0,1,32,1,2,0,0,63,0
1,8,0,3,1,27,4,6,0,0,64,0
1,3,0,0,1,34,4,9,1,0,56,0
3,7,0,0,1,28,5,3,1,0,81,1
0,26,1,0,1,32,5,5,0,0,50,0
7,7,0,0,1,31,4,3,0,0,52,0
3,27,0,3,1,29,3,2,1,0,85,0
5,15,1,3,1,42,3,4,0,0,80,0
5,14,1,3,1,33,1,10,1,0,88,0
3,14,1,3,1,38,3,9,0,0,83,1
1,31,0,3,1,41,4,5,0,0,60,0
0,15,0,0,1,31,3,6,0,0,48,0
5,22,0,0,1,28,3,2,0,0,84,0
0,2,0,3,3,24,,1,1,0,82,1
4,2,1,0,10,36,1,10,0,0,66,0
5,22,1,0,2,27,3,5,1,0,82,0
3,5,0,0,1,43,4,13,0,0,82,0
0,27,1,0,1,33,3,5,1,0,51,0
5,12,1,0,1,30,1,8,0,0,89,0
8,5,1,3,1,31,,1,1,0,58,0
0,2,0,3,1,30,5,6,0,0,45,0
3,7,1,3,1,35,4,6,0,0,80,0
1,9,1,0,1,32,3,5,0,0,64,0
4,29,0,3,1,34,3,9,0,0,68,0
1,19,0,3,1,38,5,9,0,0,56,0
7,28,0,3,1,32,5,4,1,0,53,0
1,6,0,3,2,31,3,6,0,0,66,0
0,4,1,3,1,32,5,8,0,0,48,0
4,14,1,3,1,37,1,8,0,0,68,0
3,30,1,3,3,32,4,5,0,0,80,0
0,15,1,3,1,30,5,7,0,0,49,0
0,2,1,3,1,39,1,13,0,0,52,0
6,31,0,3,1,27,3,2,0,0,59,0
3,13,0,3,1,32,4,7,1,0,79,0
0,2,1,1,1,40,5,13,1,0,53,0
3,12,1,0,1,32,3,7,0,0,82,0
0,20,1,3,2,27,5,2,1,0,53,0
6,2,1,3,1,32,5,5,1,0,58,0
1,13,1,0,1,54,4,12,1,0,61,0
0,2,1,3,1,25,3,2,0,0,53,0
1,22,1,3,1,44,3,16,0,0,59,0
5,19,1,3,1,34,3,7,0,0,88,0
7,27,0,3,1,31,3,6,0,0,50,0
0,29,0,3,3,26,1,1,1,0,50,0
4,27,0,3,1,24,,1,0,0,74,0
3,22,1,0,2,37,1,6,0,0,82,0
0,27,1,3,1,40,3,3,0,0,56,0
3,16,1,3,1,58,3,18,1,0,90,1
4,5,1,3,1,29,3,5,0,0,69,0
4,4,1,3,1,44,3,15,1,0,70,0
1,2,1,3,3,35,5,9,0,0,60,0
7,2,0,3,1,32,5,2,1,0,49,0
0,2,1,3,1,36,1,8,0,0,48,0
1,15,0,0,1,33,2,6,0,0,62,0
1,22,1,0,1,45,5,17,0,0,58,0
1,2,0,3,2,44,4,12,0,0,57,0
3,9,1,0,1,25,1,2,0,0,82,0
1,7,1,3,1,41,5,7,0,0,60,0
6,26,0,3,1,29,3,5,1,0,59,0
0,11,0,3,1,31,1,5,0,0,49,0
3,2,0,0,1,48,5,2,1,0,84,0
0,2,1,0,1,37,2,6,1,0,49,0
0,22,0,3,1,35,3,4,0,0,52,0
0,10,1,0,1,30,3,6,0,0,49,0
3,23,1,3,1,33,2,9,0,0,81,0
0,27,1,0,1,37,3,7,1,0,47,0
8,13,1,0,1,31,4,6,0,0,59,0
4,17,0,0,1,50,5,23,1,0,74,0
3,2,1,0,1,44,5,9,1,0,83,1
7,2,1,1,1,36,3,10,0,0,49,0
5,2,1,3,2,26,,1,0,0,80,0
6,22,1,0,1,24,1,2,1,0,56,0
4,2,1,3,1,29,2,4,0,0,68,0
0,2,0,3,1,43,5,4,1,0,52,1
0,2,1,0,1,38,5,12,1,0,50,0
5,22,1,3,1,23,,1,0,0,90,0
1,13,1,0,1,29,,1,0,0,60,0
1,13,0,0,1,40,3,13,0,0,63,0
1,15,1,0,1,33,4,6,1,0,63,0
0,21,1,3,1,28,4,3,1,0,53,0
6,26,0,0,1,30,3,4,0,0,62,0
0,30,1,3,1,32,4,9,0,0,46,0
7,16,1,3,2,27,3,6,1,0,48,0
5,17,1,0,1,28,,1,1,0,86,1
1,26,0,0,1,34,4,10,0,0,56,0
3,32,1,3,1,27,,1,0,0,80,0
0,34,1,3,1,29,,1,0,0,50,0
1,27,0,3,1,47,3,15,1,0,58,0
4,2,0,0,1,56,5,29,1,0,73,1
0,22,1,3,6,26,,1,1,0,50,0
3,7,0,3,1,31,2,7,0,0,77,0
4,17,0,3,1,28,4,2,0,0,64,0
5,22,1,3,1,27,2,1,1,0,83,0
5,30,1,3,2,32,3,3,1,0,86,0
4,4,1,3,3,43,3,5,1,0,67,0
3,2,1,0,1,36,1,10,0,0,81,0
1,14,0,0,1,35,4,4,0,0,58,0
4,14,1,3,1,36,3,4,1,0,72,0
3,2,1,3,1,34,1,7,0,0,84,0
1,2,1,0,1,33,3,6,0,0,58,0
0,2,1,0,1,37,1,11,0,0,49,0
1,31,1,0,1,29,4,3,1,0,56,0
5,2,1,3,1,42,1,5,0,0,83,0
5,11,1,0,1,28,4,3,0,0,85,0
0,31,1,3,2,30,1,6,0,0,54,0
5,29,0,0,1,30,5,6,1,0,84,0
3,2,1,3,5,38,4,10,0,0,79,0
0,14,1,0,1,41,3,10,0,0,51,0
3,13,0,0,1,39,5,12,0,0,81,0
1,6,1,3,1,31,4,7,0,0,61,0
4,2,0,3,1,56,5,5,1,0,69,0
0,22,1,0,1,46,3,20,0,0,44,0
0,7,1,3,2,46,1,13,0,0,48,0
5,4,1,3,2,29,,1,0,0,88,0
5,11,1,3,1,31,5,4,1,0,86,0
0,27,1,3,5,28,3,2,0,0,54,0
1,26,1,3,1,26,5,4,0,0,64,0
4,2,0,3,1,31,4,4,0,0,67,0
0,22,0,0,1,29,1,6,0,0,50,0
1,11,1,0,1,39,3,3,0,0,63,0
0,2,0,3,1,39,5,5,0,0,54,0
0,22,1,0,1,25,1,2,0,0,53,0
0,22,1,0,1,29,3,2,1,0,45,1
1,11,1,3,1,35,5,7,1,0,60,0
6,27,1,3,2,24,3,2,1,0,62,0
0,15,1,3,2,35,3,4,0,0,50,0
5,22,1,0,1,34,3,10,0,0,83,0
1,7,0,3,1,31,3,2,1,0,57,0
5,15,0,3,1,28,,1,0,0,89,0
1,2,0,0,2,32,4,10,1,0,62,1
0,13,1,3,1,36,5,10,1,0,50,0
6,31,1,0,1,32,3,4,0,0,64,0
4,29,1,0,1,35,3,3,0,0,68,0
0,1,0,0,1,27,,1,0,0,54,0
0,2,1,3,1,27,5,2,1,0,49,0
1,15,0,0,1,32,3,10,1,0,60,0
0,7,1,0,1,36,4,3,0,0,54,0
4,22,1,3,3,29,1,3,0,0,73,0
7,2,0,0,1,31,4,3,1,0,55,0
1,11,0,3,1,39,5,4,1,1,58,1
0,2,1,3,1,40,2,11,0,0,50,0
1,17,1,3,1,29,3,5,0,0,61,0
0,22,1,3,1,40,5,5,1,0,51,0
0,2,1,3,1,48,3,3,0,0,52,0
6,2,1,0,1,40,3,5,0,0,58,0
0,26,1,3,1,26,1,3,0,0,49,0
5,22,1,0,1,27,,1,0,0,86,1
0,17,1,3,1,38,3,10,0,0,50,0
4,22,1,0,2,28,2,6,0,0,68,0
6,7,1,0,1,32,3,6,0,0,62,0
0,31,1,0,1,49,3,7,0,0,49,0
4,26,1,3,1,31,3,6,0,0,69,0
1,15,0,0,1,38,5,3,1,0,61,1
4,7,0,0,1,42,5,14,0,0,70,0
5,29,1,0,1,36,1,4,0,0,86,0
3,22,1,0,1,30,4,3,1,0,87,0
1,27,1,3,1,24,5,2,1,0,56,0
6,4,1,3,1,26,,1,0,0,58,0
5,20,1,3,1,26,3,4,0,0,86,0
6,16,1,0,2,25,5,2,1,0,58,0
5,4,1,3,2,46,5,23,1,0,89,1
3,33,1,0,1,53,3,23,0,0,81,0
0,28,1,3,1,30,,1,0,0,51,0
0,2,1,0,1,43,1,15,0,0,49,0
0,22,1,3,1,46,4,12,0,0,50,0
1,2,0,3,1,34,1,8,1,0,58,0
1,32,1,3,1,36,4,4,0,0,64,0
3,2,0,3,1,31,2,5,0,0,82,0
0,22,1,3,1,45,1,4,0,0,49,0
1,17,0,3,1,32,3,5,0,0,63,0
1,30,0,3,1,26,5,2,1,0,58,0
4,22,1,0,2,42,5,8,1,0,68,1
3,15,1,3,1,41,3,15,0,0,94,1
7,2,1,3,1,29,3,4,0,0,48,0
1,2,0,0,1,34,5,8,0,0,60,0
1,6,1,3,1,28,3,2,1,0,61,0
0,22,1,3,2,27,2,4,0,0,46,0
0,2,1,0,2,27,1,2,0,0,49,0
4,2,1,0,3,59,4,19,0,0,68,0
1,31,1,3,1,29,5,2,0,0,59,0
0,23,1,3,1,38,5,2,0,0,48,0
1,2,1,3,1,30,5,5,0,0,57,0
4,17,1,0,1,33,4,5,1,0,70,1
3,22,0,3,2,27,3,4,0,0,78,0
1,7,0,0,1,36,4,4,0,0,57,0
4,2,1,0,2,33,3,7,0,0,70,0
5,2,1,0,1,45,3,7,0,0,83,0
1,2,0,3,2,40,,1,1,0,65,0
0,4,1,0,1,27,,1,1,1,52,1
1,22,1,0,1,47,3,16,0,0,60,0
7,2,1,0,2,29,,1,1,0,49,0
5,31,1,3,1,35,3,8,1,0,84,1
8,13,1,0,1,38,1,9,0,0,59,0
1,2,1,3,2,40,3,7,0,0,63,0
5,34,1,3,1,26,,1,0,0,82,0
0,10,1,3,2,28,1,3,0,0,47,0
0,23,1,3,1,44,4,7,0,0,48,0
4,4,1,3,1,31,3,6,0,0,69,0
1,24,1,3,1,33,3,4,0,0,63,0
0,5,1,0,1,30,1,8,0,0,55,0
1,23,0,0,1,38,3,3,1,0,61,0
5,22,1,3,1,32,2,5,1,0,86,0
4,2,0,0,1,38,4,7,1,0,70,0
0,12,1,0,1,27,,1,0,0,50,0
1,26,0,3,1,35,4,4,0,0,62,0
4,10,1,0,1,28,5,5,1,0,65,0
1,4,1,0,1,36,5,7,1,1,58,1
1,29,1,3,2,34,3,3,0,0,57,0
4,2,0,0,1,55,4,14,0,0,68,0
4,23,0,3,1,30,1,8,0,0,70,0
3,13,0,3,2,29,3,6,0,0,76,0
0,14,1,3,1,31,3,3,0,0,63,1
1,5,1,0,1,32,4,5,0,0,61,0
1,26,1,0,1,31,5,2,0,0,56,0
1,6,0,3,1,33,3,5,0,0,62,0
0,22,1,3,1,21,1,2,0,0,53,0
0,28,0,3,1,29,3,2,0,0,55,0
8,22,1,3,1,29,3,2,1,0,64,0
3,2,1,0,1,53,4,19,0,0,80,0
5,29,1,3,1,29,5,5,0,0,83,0
3,4,1,0,1,43,4,7,1,0,81,0
1,2,0,3,1,32,3,2,0,0,60,0
4,26,1,3,1,39,5,4,1,0,63,0
0,31,1,3,2,26,1,2,0,0,52,0
4,22,1,3,2,32,3,7,0,0,71,0
9,22,1,3,1,31,3,5,0,0,88,0
6,11,0,3,1,27,5,2,1,0,54,0
6,2,1,3,2,35,3,3,0,0,60,0
0,4,1,3,1,30,4,2,0,0,49,0
0,28,0,0,1,28,,1,1,0,47,0
0,25,1,0,1,41,3,6,0,0,57,0
5,13,1,0,1,33,4,7,0,0,84,0
6,2,1,0,1,38,5,7,1,0,65,0
0,1,1,0,1,29,3,5,0,0,56,0
0,17,1,3,1,37,5,10,1,0,51,0
7,2,0,3,1,42,1,14,0,0,52,0
0,22,1,3,1,32,2,3,0,0,44,0
0,29,0,3,1,33,3,2,1,0,48,1
4,2,1,3,1,30,,1,1,0,68,0
6,21,1,0,1,28,3,7,0,0,56,0
5,22,1,3,1,39,4,2,0,0,81,0
1,19,0,3,1,31,5,4,1,0,59,0
0,10,1,3,1,28,,1,0,0,49,0
9,13,1,3,1,34,5,6,1,0,80,0
0,2,1,0,1,32,1,4,0,0,52,0
0,22,1,0,1,26,3,3,1,0,45,0
1,2,1,3,1,41,1,12,0,0,57,0
4,29,1,0,1,28,,1,0,0,71,0
6,22,1,0,2,26,5,3,1,0,55,0
1,13,1,0,1,37,4,7,1,0,60,0
0,5,1,0,2,43,3,5,0,0,51,0
9,22,1,3,4,31,5,2,1,0,82,0
3,23,0,3,4,35,3,10,1,0,83,1
6,2,0,0,1,23,5,2,1,0,57,0
1,7,0,3,1,28,4,5,0,0,62,0
0,20,1,0,1,27,3,5,1,0,46,0
0,14,1,0,1,27,4,5,1,0,47,0
3,2,1,1,1,49,5,7,1,0,77,0
0,2,1,0,1,22,,1,0,0,61,1
4,14,1,0,1,32,4,7,1,0,72,0
7,22,1,0,1,34,5,3,1,0,49,0
0,7,1,3,3,30,3,5,0,0,50,0
1,2,1,3,1,49,5,19,1,0,62,0
0,31,1,0,1,28,3,5,0,0,48,0
3,27,1,3,1,30,2,4,0,0,77,0
0,2,1,3,3,35,1,9,0,0,48,0
1,15,0,3,1,53,4,7,0,0,64,0
0,2,1,0,5,26,3,4,0,0,52,0
1,3,1,0,1,32,5,9,1,0,63,0
0,31,1,0,1,41,5,3,1,0,44,0
3,6,0,3,1,25,3,3,0,0,83,0
7,5,1,0,1,34,3,7,0,0,63,1
3,15,1,0,3,32,2,2,0,0,80,0
0,20,1,0,1,38,3,5,1,0,53,0
5,28,1,0,1,28,4,4,0,0,82,0
5,20,1,3,1,29,5,5,1,0,81,0
0,7,1,3,1,36,2,4,0,0,50,0
5,19,1,3,1,37,1,11,0,0,87,0
1,2,0,3,1,31,5,6,1,0,60,0
4,34,1,0,1,30,3,2,0,0,67,0
0,15,1,3,1,39,5,5,1,0,51,0
0,25,1,3,1,36,5,8,1,0,47,0
4,13,0,3,1,34,3,6,1,0,68,0
8,22,1,3,1,45,4,6,1,0,59,0
1,2,0,3,1,31,1,5,1,0,62,0
1,13,0,0,1,41,3,5,0,0,57,0
1,22,0,3,1,48,3,16,0,0,60,0
5,26,1,3,1,30,5,8,1,0,88,0
3,26,1,3,1,23,,1,0,0,78,0
9,11,1,3,1,31,5,4,1,0,82,0
1,23,0,3,1,35,4,9,0,0,62,0
1,22,1,3,1,47,5,17,0,0,70,1
0,22,1,3,1,28,4,3,1,0,48,0
7,31,0,3,1,28,3,2,1,0,54,0
0,6,0,3,1,35,4,7,1,0,58,1
0,2,1,3,2,28,2,4,0,0,55,0
1,4,1,0,1,38,4,13,0,0,59,0
7,2,0,1,1,30,,1,0,0,49,0
6,26,1,0,1,27,2,2,1,0,59,0
5,22,1,0,1,34,5,8,0,0,81,0
1,15,1,3,1,31,3,3,0,0,58,0
3,11,0,3,1,28,,1,0,0,82,0
0,22,1,3,1,33,3,6,1,0,51,0
0,2,0,3,2,40,3,5,0,0,43,0
6,22,1,0,2,29,5,3,0,0,74,1
4,17,0,3,1,39,3,3,0,0,69,0
0,23,1,0,1,40,1,10,0,0,50,0
0,11,1,0,1,26,,1,0,0,49,0
8,2,0,3,1,32,4,3,0,0,68,0
3,2,1,3,4,37,3,9,0,0,84,0
4,26,1,3,1,34,3,7,0,0,73,0
3,7,1,0,2,25,,1,0,0,76,0
6,7,1,0,2,34,3,7,0,0,59,0
0,2,1,3,1,60,5,6,1,0,50,0
1,7,1,3,1,24,5,2,1,0,57,0
5,4,1,0,1,28,5,3,0,0,83,0
1,2,1,0,1,30,,1,1,0,58,0
5,15,1,3,2,28,,1,0,0,85,0
3,10,1,3,1,26,1,2,0,0,83,0
0,2,1,0,1,44,4,16,1,0,47,1
7,8,1,3,1,29,2,4,0,0,49,0
4,2,1,3,1,49,1,5,0,0,68,0
3,10,1,0,2,30,4,6,0,0,81,0
3,2,0,3,1,24,,1,0,0,80,1
3,22,1,3,1,29,3,6,0,0,82,0
4,31,1,3,1,31,5,5,0,0,63,0
5,2,1,0,1,30,4,4,0,0,81,0
5,2,1,0,1,50,4,18,0,0,86,0
4,2,0,3,1,50,4,6,0,0,68,0
0,2,1,3,1,54,5,22,0,0,46,0
4,17,0,3,1,30,3,5,1,0,68,0
1,31,1,3,1,30,1,6,0,0,61,0
0,28,1,0,1,35,4,6,0,0,49,0
4,2,1,3,3,51,3,19,0,0,69,0
0,22,1,0,1,22,3,2,1,0,49,0
3,24,0,3,1,39,3,6,0,0,78,0
